Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
MAR2972_trim_R1	90.11624651223474	43.0	141.88676328154907	18.181818181818183	1946215.0
MAR2972_trim_R2	82.5050888347094	40.0	139.99145777830302	18.181818181818183	1946215.0
MAR2973_trim_R1	91.52267103424803	42.0	141.8147562459303	18.181818181818183	2719811.0
MAR2973_trim_R2	86.42680285377173	39.0	139.14779960813453	18.181818181818183	2719811.0
MAR2974_trim_R1	89.31246530092784	42.0	142.0874149677016	18.181818181818183	1586456.0
MAR2974_trim_R2	76.13564183882245	39.0	138.4253732848563	18.181818181818183	1586456.0
MAR2975_trim_R1	92.36724997632906	42.0	142.0011492148616	18.181818181818183	3681644.0
MAR2975_trim_R2	87.37718064385817	39.0	138.1669686151078	18.181818181818183	3681644.0
MAR2977_trim_R1	88.59172660908457	42.0	142.1804861786474	18.181818181818183	1448809.0
MAR2977_trim_R2	77.05343009678629	39.0	137.98553846642312	18.181818181818183	1448809.0
MAR2979_trim_R1	91.98315712387648	42.0	142.1810373978527	18.181818181818183	3418592.0
MAR2979_trim_R2	83.19076188260081	39.0	138.98584563469404	18.181818181818183	3418592.0
MAR2980_trim_R1	89.62870162082396	43.0	141.58257280690344	18.181818181818183	1760513.0
MAR2980_trim_R2	82.29195041105714	40.0	140.3200959038644	18.181818181818183	1760513.0
MAR2981_trim_R1	90.81573424926624	43.0	141.69671028162517	18.181818181818183	2688680.0
MAR2981_trim_R2	85.44684968470887	40.0	139.9373127333859	18.181818181818183	2688680.0
MAR2990_trim_R1	91.22388572669522	42.0	141.8099013240784	18.181818181818183	2484294.0
MAR2990_trim_R2	85.82253588088174	39.0	139.24614800019643	18.181818181818183	2484294.0
SOR3003_trim_R1	92.17684252913618	42.0	141.98524380817182	18.181818181818183	3892671.0
SOR3003_trim_R2	87.32062303266447	39.0	138.11880813970663	18.181818181818183	3892671.0
SOR3005_trim_R1	91.5122435258476	42.0	142.11802031138936	18.181818181818183	2976852.0
SOR3005_trim_R2	83.64107711437237	39.0	138.93798280868515	18.181818181818183	2976852.0
SOR3006_trim_R1	91.99606404097042	42.0	142.16325415797743	18.181818181818183	3362873.0
SOR3006_trim_R2	84.0606183914854	39.0	138.95387872215215	18.181818181818183	3362873.0
SOR3007_trim_R1	92.25474711066147	43.0	141.7022488408958	18.181818181818183	4195050.0
SOR3007_trim_R2	88.23605635656826	40.0	140.2017003373023	18.181818181818183	4195050.0
SOR3011_trim_R1	89.72894771137734	43.0	141.9405822932109	18.181818181818183	1900898.0
SOR3011_trim_R2	84.01818665133158	40.0	138.8559554484249	18.181818181818183	1900898.0
SOR3012_trim_R1	90.28358260851732	42.0	142.05995591994662	18.181818181818183	2639289.0
SOR3012_trim_R2	84.36449893013346	39.0	138.27413064654914	18.181818181818183	2639289.0
SOR3013_trim_R1	90.69359600573004	42.0	142.16174311245925	18.181818181818183	2897805.0
SOR3013_trim_R2	84.60778152532079	39.0	138.2826715393203	18.181818181818183	2897805.0
SOR3017_trim_R1	89.70927549616972	42.0	141.80962211596278	18.181818181818183	1980687.0
SOR3017_trim_R2	82.84901987181426	39.0	137.86702442132452	18.181818181818183	1980687.0
SOR3020_trim_R1	90.33164810276593	42.0	142.12923789256487	18.181818181818183	2411576.0
SOR3020_trim_R2	84.19203260977315	39.0	138.17290767531273	18.181818181818183	2411576.0
SOR3021_trim_R1	91.58679624975215	42.0	141.79915182133917	18.181818181818183	3180462.0
SOR3021_trim_R2	86.2794609397305	39.0	138.490249844205	18.181818181818183	3180462.0
